Central Equatoria,Yei,Jianchu
Central Equatoria,Yei,Yangibe
Central Equatoria,Yei,Lasuba
Central Equatoria,Juba,Karpeto
Central Equatoria,Yei,Ngoromba
Central Equatoria,Yei,Minyori
Central Equatoria,Yei,Gimunu
Central Equatoria,Yei,Terubi
Central Equatoria,Yei,Tikasu
Central Equatoria,Yei,Penda
Central Equatoria,Lainya,Malakia
Central Equatoria,Lainya,Kopera
Central Equatoria,Yei,Nyakangasu
Central Equatoria,Yei,Korobi
Central Equatoria,Juba,Labizuzo
Central Equatoria,Yei,Midala
Central Equatoria,Lainya,Linuro
Central Equatoria,Yei,Logo
Central Equatoria,Yei,Kirikwa
Central Equatoria,Lainya,Kobo
Central Equatoria,Yei,Minori
Central Equatoria,Yei,Wapu
Central Equatoria,Lainya,Gordo
Central Equatoria,Yei,Gado
Central Equatoria,Yei,Zora
Central Equatoria,Lainya,Niambusu
Central Equatoria,Juba,Bari
Central Equatoria,Yei,Pisak
Central Equatoria,Yei,Yajisu
Central Equatoria,Yei,Muru
Central Equatoria,Lainya,Gumbiri
Central Equatoria,Lainya,Limbe
Central Equatoria,Yei,Pisa
Central Equatoria,Yei,Remagi
Central Equatoria,Lainya,Mijigo
Central Equatoria,Lainya,Libogo Moki
Central Equatoria,Lainya,Rundu
Central Equatoria,Lainya,Moyita
Central Equatoria,Lainya,Kaluli
Central Equatoria,Yei,Lodorobe
Central Equatoria,Lainya,Buri
Central Equatoria,Yei,Koje
Central Equatoria,Yei,Baka
Central Equatoria,Yei,Lomudung
Central Equatoria,Lainya,Kunamaki
Central Equatoria,Lainya,Miteng
Central Equatoria,Yei,Kirikva
Central Equatoria,Yei,Kelego
Central Equatoria,Yei,Sajo
Central Equatoria,Lainya,Mura
Central Equatoria,Yei,Yagisu
Central Equatoria,Yei,Rebur
Central Equatoria,Lainya,Metameru
Central Equatoria,Lainya,Baranga
Central Equatoria,Lainya,Jome
Central Equatoria,Lainya,Gwonkolok
Central Equatoria,Lainya,Moyang
Central Equatoria,Juba,Rogala
Central Equatoria,Yei,Nyakuru
Central Equatoria,Yei,Baranga
Central Equatoria,Lainya,Rume
Central Equatoria,Lainya,Nyarachu
Central Equatoria,Lainya,Sadim
Central Equatoria,Yei,Buri
Central Equatoria,Lainya,Malewo
