165,"Central Equatoria","Kajo-keji","Mondi"
166,"Central Equatoria","Kajo-keji","Kachurak"
167,"Central Equatoria","Kajo-keji","Langile"
168,"Central Equatoria","Kajo-keji","Koroshak"
169,"Central Equatoria","Morobo","Nyigo"
170,"Central Equatoria","Kajo-keji","Banyajur"
171,"Central Equatoria","Morobo","Gurri"
172,"Central Equatoria","Morobo","Kolowa"
173,"Central Equatoria","Kajo-keji","Lilige"
174,"Central Equatoria","Morobo","Lomoni"
175,"Central Equatoria","Yei","Pamodo"
176,"Central Equatoria","Yei","Ombasi"
177,"Central Equatoria","Kajo-keji","Karila"
178,"Central Equatoria","Yei","Migale"
179,"Central Equatoria","Yei","Limbi"
180,"Central Equatoria","Kajo-keji","Litoba"
181,"Central Equatoria","Kajo-keji","Bokko"
182,"Central Equatoria","Yei","Kwotio"
183,"Central Equatoria","Kajo-keji","Monobek"
184,"Central Equatoria","Yei","Ginjan"
185,"Central Equatoria","Kajo-keji","Ramagi"
186,"Central Equatoria","Morobo","Turupa"
187,"Central Equatoria","Kajo-keji","Kuriju"
188,"Central Equatoria","Yei","Gokiri"
189,"Central Equatoria","Yei","Sorumuka"
190,"Central Equatoria","Yei","Korelli"
191,"Central Equatoria","Yei","Ribuga"
192,"Central Equatoria","Kajo-keji","Mekr"
193,"Central Equatoria","Yei","Umbasi"
194,"Central Equatoria","Morobo","Kakorodo"
195,"Central Equatoria","Lainya","Lupayong"
196,"Central Equatoria","Yei","Monga"
197,"Central Equatoria","Kajo-keji","Dongo"
198,"Central Equatoria","Yei","Kisangani"
199,"Central Equatoria","Yei","Mongo"
200,"Central Equatoria","Yei","Longamere"
201,"Central Equatoria","Kajo-keji","Kemi"
202,"Central Equatoria","Kajo-keji","Lakitala"
203,"Central Equatoria","Kajo-keji","Runga"
204,"Central Equatoria","Morobo","Marjo"
205,"Central Equatoria","Kajo-keji","Sokare"
206,"Central Equatoria","Yei","Nagobere"
207,"Central Equatoria","Kajo-keji","Lire"
208,"Central Equatoria","Morobo","Yaribe"
209,"Central Equatoria","Yei","New Lasu"
210,"Central Equatoria","Lainya","Yaribe"
211,"Central Equatoria","Yei","Libago"
212,"Central Equatoria","Yei","Wundukari"
213,"Central Equatoria","Morobo","Pori"
214,"Central Equatoria","Kajo-keji","Gaderu"
215,"Central Equatoria","Yei","Konugi"
216,"Central Equatoria","Yei","Dimo"
217,"Central Equatoria","Yei","Morusa"
218,"Central Equatoria","Kajo-keji","Kansuk"
219,"Central Equatoria","Yei","Gimoru"
220,"Central Equatoria","Yei","Nyori"
221,"Central Equatoria","Kajo-keji","Mogiri"
222,"Central Equatoria","Yei","Morsak"
223,"Central Equatoria","Yei","Kuriju"
224,"Central Equatoria","Yei","Lasu"
225,"Central Equatoria","Kajo-keji","Adubi"
226,"Central Equatoria","Yei","Old Lasu"
227,"Central Equatoria","Yei","Kobwa"
228,"Central Equatoria","Yei","Gwaja"
229,"Central Equatoria","Yei","Amujupi"
230,"Central Equatoria","Kajo-keji","River Uma"
231,"Central Equatoria","Kajo-keji","Yerbora Rapids"
232,"Central Equatoria","Kajo-keji","Kuio"
233,"Central Equatoria","Yei","Beriung"
234,"Central Equatoria","Kajo-keji","Mogiri B"
235,"Central Equatoria","Yei","Payawa"
236,"Central Equatoria","Yei","Marju"
237,"Central Equatoria","Lainya","Larding"
238,"Central Equatoria","Kajo-keji","Yenteng"
239,"Central Equatoria","Yei","Mitika"
240,"Central Equatoria","Lainya","Reja"
241,"Central Equatoria","Yei","Lun"
242,"Central Equatoria","Juba","River Liro"
243,"Central Equatoria","Kajo-keji","Karokobe"
244,"Central Equatoria","Yei","Mogiri"
245,"Central Equatoria","Kajo-keji","Momonga"
246,"Central Equatoria","Kajo-keji","Kala"
247,"Central Equatoria","Yei","Lu"
248,"Central Equatoria","Yei","Mujdu"
249,"Central Equatoria","Yei","Rubeke"
250,"Central Equatoria","Yei","Iamba"
251,"Central Equatoria","Yei","Rubeki"
252,"Central Equatoria","Yei","Famodo"
253,"Central Equatoria","Kajo-keji","Muremaring"
254,"Central Equatoria","Yei","Piowa"
255,"Central Equatoria","Lainya","Walrakitter"
256,"Central Equatoria","Kajo-keji","Kala 2"
257,"Central Equatoria","Yei","Fafara"
258,"Central Equatoria","Yei","Mongoi"
259,"Central Equatoria","Lainya","Kiju"
260,"Central Equatoria","Yei","Mugwa"
261,"Central Equatoria","Yei","Ariga"
262,"Central Equatoria","Yei","Mejiri"
263,"Central Equatoria","Yei","Gober"
264,"Central Equatoria","Kajo-keji","Londi"
265,"Central Equatoria","Kajo-keji","Kanchu"
266,"Central Equatoria","Kajo-keji","Roberia"
267,"Central Equatoria","Yei","Paer"
268,"Central Equatoria","Yei","Alero"
269,"Central Equatoria","Yei","Luduro"
270,"Central Equatoria","Yei","Abegi"
271,"Central Equatoria","Lainya","Minyi"
272,"Central Equatoria","Kajo-keji","Lobur"
273,"Central Equatoria","Lainya","Bareia"
274,"Central Equatoria","Lainya","Dongoro"
275,"Central Equatoria","Kajo-keji","Mononyik"
276,"Central Equatoria","Kajo-keji","Kunyuru"
277,"Central Equatoria","Yei","Yambari"
278,"Central Equatoria","Yei","Paremaso"
279,"Central Equatoria","Yei","Abeye"
280,"Central Equatoria","Yei","Megiri"
281,"Central Equatoria","Lainya","Dukunya"
282,"Central Equatoria","Yei","Kalo"
283,"Central Equatoria","Kajo-keji","Lori"
284,"Central Equatoria","Yei","Perusha"
285,"Central Equatoria","Lainya","Pereng"
286,"Central Equatoria","Yei","Kajelu"
287,"Central Equatoria","Yei","Kemiru"
288,"Central Equatoria","Yei","Pakula"
289,"Central Equatoria","Yei","Madi"
290,"Central Equatoria","Yei","Lukudu"
291,"Central Equatoria","Lainya","Jamara"
292,"Central Equatoria","Lainya","Kansuk"
293,"Central Equatoria","Juba","Lakki"
294,"Central Equatoria","Lainya","Mitika"
295,"Central Equatoria","Lainya","Mundu"
296,"Central Equatoria","Yei","Kagelu"
297,"Central Equatoria","Lainya","Mundo"
298,"Central Equatoria","Kajo-keji","Arado"
299,"Central Equatoria","Lainya","Wuji"
300,"Central Equatoria","Yei","Ronyi"
301,"Central Equatoria","Lainya","Muring"
302,"Central Equatoria","Lainya","Tambura"
303,"Central Equatoria","Lainya","Kanchu"
304,"Central Equatoria","Lainya","Limuro"
305,"Central Equatoria","Yei","Somba"
306,"Central Equatoria","Lainya","Ribi"
307,"Central Equatoria","Yei","Murusu"
308,"Central Equatoria","Lainya","Lumuro"
309,"Central Equatoria","Juba","Attigu"
310,"Central Equatoria","Juba","Umo"
311,"Central Equatoria","Lainya","Moju-malat"
312,"Central Equatoria","Yei","Sanjasiri"
313,"Central Equatoria","Lainya","Mugga"
314,"Central Equatoria","Yei","Rony"
315,"Central Equatoria","Yei","Tangore"
316,"Central Equatoria","Yei","Lataya"
317,"Central Equatoria","Lainya","Lummuri"
318,"Central Equatoria","Yei","Bari"
319,"Central Equatoria","Yei","Fajelu"
320,"Central Equatoria","Lainya","Perser"
321,"Central Equatoria","Juba","Loga"
322,"Central Equatoria","Yei","Kogwo"
323,"Central Equatoria","Yei","Yei"
324,"Central Equatoria","Yei","Hai Gabat"
325,"Central Equatoria","Yei","Mahad"
326,"Central Equatoria","Lainya","Nyanjya"
327,"Central Equatoria","Yei","Goronya"
328,"Central Equatoria","Lainya","Pasho"
329,"Central Equatoria","Lainya","Longira"
330,"Central Equatoria","Lainya","Korkimo"
331,"Central Equatoria","Yei","Yumusu"
332,"Central Equatoria","Yei","Itukwara"
333,"Central Equatoria","Lainya","Marani"
334,"Central Equatoria","Lainya","Lakwatli"
335,"Central Equatoria","Yei","Yumule"
336,"Central Equatoria","Yei","Keribala"
337,"Central Equatoria","Yei","Telgay"
338,"Central Equatoria","Juba","Chilikwa"
339,"Central Equatoria","Yei","Jianchu"
340,"Central Equatoria","Yei","Yangibe"
341,"Central Equatoria","Yei","Lasuba"
342,"Central Equatoria","Juba","Karpeto"
343,"Central Equatoria","Yei","Ngoromba"
344,"Central Equatoria","Yei","Minyori"
345,"Central Equatoria","Yei","Gimunu"
346,"Central Equatoria","Yei","Terubi"
347,"Central Equatoria","Yei","Tikasu"
348,"Central Equatoria","Yei","Penda"
349,"Central Equatoria","Lainya","Malakia"
350,"Central Equatoria","Lainya","Kopera"
351,"Central Equatoria","Yei","Nyakangasu"
352,"Central Equatoria","Yei","Korobi"
353,"Central Equatoria","Juba","Labizuzo"
354,"Central Equatoria","Yei","Midala"
355,"Central Equatoria","Lainya","Linuro"
356,"Central Equatoria","Yei","Logo"
357,"Central Equatoria","Yei","Kirikwa"
358,"Central Equatoria","Lainya","Kobo"
359,"Central Equatoria","Yei","Minori"
360,"Central Equatoria","Yei","Wapu"
361,"Central Equatoria","Lainya","Gordo"
362,"Central Equatoria","Yei","Gado"
363,"Central Equatoria","Yei","Zora"
364,"Central Equatoria","Lainya","Niambusu"
365,"Central Equatoria","Juba","Bari"
366,"Central Equatoria","Yei","Pisak"
367,"Central Equatoria","Yei","Yajisu"
368,"Central Equatoria","Yei","Muru"
369,"Central Equatoria","Lainya","Gumbiri"
370,"Central Equatoria","Lainya","Limbe"
371,"Central Equatoria","Yei","Pisa"
372,"Central Equatoria","Yei","Remagi"
373,"Central Equatoria","Lainya","Mijigo"
374,"Central Equatoria","Lainya","Libogo Moki"
375,"Central Equatoria","Lainya","Rundu"
376,"Central Equatoria","Lainya","Moyita"
377,"Central Equatoria","Lainya","Kaluli"
378,"Central Equatoria","Yei","Lodorobe"
379,"Central Equatoria","Lainya","Buri"
380,"Central Equatoria","Yei","Koje"
381,"Central Equatoria","Yei","Baka"
382,"Central Equatoria","Yei","Lomudung"
383,"Central Equatoria","Lainya","Kunamaki"
